"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"C0585362","Squamous cell carcinoma of mouth","5/29","123/21671",0.040650406504065,30.3770675637791,11.9601677951151,5.7792624678585e-07,0.000570804520933393,0.000400735174294672,"RPE65/CD44/TNFSF10/SCUBE2/NLRP2",5
"C0280856","Squamous cell carcinoma of vulva","4/29","57/21671",0.0701754385964912,52.4404113732607,14.2348877075475,9.72409746053481e-07,0.000570804520933393,0.000400735174294672,"RPE65/CDK1/CD44/LRIG1",4
"C0040100","Thymoma","5/29","291/21671",0.0171821305841924,12.8397914444839,7.44331596150296,3.84597842436065e-05,0.0150505955673313,0.0105663196711382,"CHRNA1/CD44/TNFSF10/PLAAT4/MICA",5
"C0677055","CARCINOMA OF VULVA","3/29","72/21671",0.0416666666666667,31.1364942528736,9.37609316710154,0.000120759742414842,0.0266805569054526,0.0187311719330847,"RPE65/CDK1/CD44",3
"C0220633","Uveal melanoma","5/29","376/21671",0.0132978723404255,9.93717901687454,6.39934192518026,0.000129021054793945,0.0266805569054526,0.0187311719330847,"RPE65/CD44/TNFSF10/NLRP2/MICA",5
"C1514422","Glioblastoma, IDH-Wildtype","3/29","75/21671",0.04,29.8910344827586,9.1745933347482,0.000136357190317475,0.0266805569054526,0.0187311719330847,"MIR744/TNFSF10/PLAAT4",3
"C0263641","Epithelial hyperplasia of skin","3/29","79/21671",0.0379746835443038,28.3775643823658,8.92363251121806,0.00015911579691004,0.0266859922246267,0.0187349878166258,"RPE65/CD44/LRIG1",3
"C0524909","Hepatitis B, Chronic","5/29","415/21671",0.0120481927710843,9.00332363938513,6.02605949623025,0.000204334670033565,0.0272655436148659,0.0191418637590245,"COL22A1/CD44/TNFSF10/PLAAT4/MICA",5
"C0334619","HODGKIN'S AND NON-HODGKIN'S LYMPHOMA","2/29","17/21671",0.117647058823529,87.9148073022312,13.1228729550046,0.000232244834879607,0.0272655436148659,0.0191418637590245,"CD44/NLRP2",2
"C4528408","Advanced Head and Neck Squamous Cell Carcinoma","2/29","17/21671",0.117647058823529,87.9148073022312,13.1228729550046,0.000232244834879607,0.0272655436148659,0.0191418637590245,"CD44/NLRP2",2
"C0206674","Adenoma, Villous","2/29","20/21671",0.1,74.7275862068965,12.0749625283177,0.00032365269938892,0.0288247027538114,0.0202364765141526,"RASSF2/RPE65",2
"C0024232","Lymphatic Metastasis","5/29","463/21671",0.0107991360691145,8.06993371564758,5.62905819400134,0.000338649829216834,0.0288247027538114,0.0202364765141526,"RASSF2/CD44/MIR744/SPARCL1/MICA",5
"C0263361","Psoriasis vulgaris","4/29","255/21671",0.0156862745098039,11.7219743069642,6.30456942649294,0.000352798940032886,0.0288247027538114,0.0202364765141526,"SPARCL1/TNFSF10/PLAAT4/MICA",4
"C0406557","Poikiloderma of Kindler","2/29","21/21671",0.0952380952380952,71.1691297208539,11.7762372193201,0.000357424624894067,0.0288247027538114,0.0202364765141526,"RPE65/CDK1",2
"C0853879","Invasive carcinoma of breast","5/29","473/21671",0.0105708245243129,7.89932200918568,5.55353227013327,0.000373524615673931,0.0288247027538114,0.0202364765141526,"RPE65/CDK1/CD44/TNFSF10/FABP7",5
"C1516061","Astler-Coller B1 Rectal Carcinoma","2/29","22/21671",0.0909090909090909,67.9341692789969,11.4979404804869,0.000392840923390956,0.0288247027538114,0.0202364765141526,"CDK1/SCUBE2",2
"C1960398","HER2-positive carcinoma of breast","4/29","288/21671",0.0138888888888889,10.3788314176245,5.86530247567144,0.000558326825935089,0.0385573937439879,0.0270693439447167,"CDK1/CD44/TNFSF10/FABP7",4
"C0677944","Sentinel node (disorder)","3/29","130/21671",0.0230769230769231,17.2448275862069,6.80038671689004,0.000687623606122894,0.0448483396437932,0.0314859230172062,"RASSF2/RPE65/CD44",3
