"category","n_genes","n_measured","n_sig","n_up","n_down","mean_lfc","median_lfc"
"tca_cycle",21,21,0,0,0,-0.107388589595158,-0.0758934525382022
"fission",5,5,0,0,0,0.0909221927552543,0.0687011240840493
"complex_IV",30,27,0,0,0,0.0760763126697976,0.0673645097583018
"ros_defense",19,19,0,0,0,-0.0760414544218454,-0.0725963816382088
"complex_V",18,16,0,0,0,0.0508334294084204,0.0376019467145618
"complex_I",45,38,0,0,0,0.0473160861965332,0.0450041445122758
"fusion",4,4,0,0,0,0.0437735590052115,0.049871708595448
"mitophagy",14,14,0,0,0,-0.038996670764478,-0.0103020017668037
"mito_apoptosis",16,16,0,0,0,0.0372460143512926,0.0254396319484032
"complex_II",6,6,0,0,0,0.0300172552021778,-0.0141865090486478
"mito_transport",13,13,0,0,0,0.0162166899721324,0.042813927811027
"mtdna_maintenance",13,13,0,0,0,-0.00747532054968048,-0.0247083007348419
"complex_III",12,11,0,0,0,0.00689880254423185,-0.00844139806223057
