gene_symbol,log2fc,pvalue,padj,diffexpressed,sig,direction,sig_label
NFKB1,-0.6061527254922476,0.0239376751732105,0.0239376751732105,NS,FALSE,NS,*
PANX1,0.4027792620465011,0.04872062552883136,0.04872062552883136,NS,FALSE,NS,*
IL18,-0.916631741880629,0.1279614120410346,0.1279614120410346,NS,FALSE,NS,
NFKB2,-0.4813484127998752,0.17171522326256733,0.17171522326256733,NS,FALSE,NS,
IL6,-0.09676406940049552,0.2413149269826058,0.2413149269826058,NS,FALSE,NS,
CASP1,-0.19636884991035897,0.2971011954579143,0.2971011954579143,NS,FALSE,NS,
P2RX7,-0.3167459128282076,0.29852319854681914,0.29852319854681914,NS,FALSE,NS,
NLRP3,0.23035027554873325,0.318925762723791,0.318925762723791,NS,FALSE,NS,
TNF,-0.06629896229360818,0.332960185679517,0.332960185679517,NS,FALSE,NS,
RELA,-0.06511744337109324,0.6922923782360704,0.6922923782360704,NS,FALSE,NS,
IL1B,-0.08277078398274017,0.7330527329565377,0.7330527329565377,NS,FALSE,NS,
HMGB1,-0.0525179533587401,0.7390259332212155,0.7390259332212155,NS,FALSE,NS,
CXCL8,0.12107088019817684,0.7901863844315727,0.7901863844315727,NS,FALSE,NS,
TXNIP,0.04694013210677889,0.8182257666106161,0.8182257666106161,NS,FALSE,NS,
PYCARD,-0.02238221784128567,0.9601875118258588,0.9601875118258588,NS,FALSE,NS,
